subject,ave,sd,block,triplet,position,shape_num,RT,RT_trimmed,log_RT_trimmed,change?,block>12,block>18,block>6,"1-avg(2,3)","log_1-avg(2,3)",odd_even
1,463.3090278,298.4766328,8,6,2,17,366,366,5.902633333,0,FALSE,FALSE,TRUE,,,e
1,463.3090278,298.4766328,8,6,3,18,338,338,5.823045895,0,FALSE,FALSE,TRUE,-42,-0.126267317,e
1,463.3090278,298.4766328,8,1,1,1,306,306,5.723585102,0,FALSE,FALSE,TRUE,,,o
1,463.3090278,298.4766328,8,1,2,2,301,301,5.707110265,0,FALSE,FALSE,TRUE,,,o
1,463.3090278,298.4766328,8,1,3,3,309,309,5.733341277,0,FALSE,FALSE,TRUE,1,0.003359331,o
1,463.3090278,298.4766328,8,7,1,19,273,273,5.609471795,0,FALSE,FALSE,TRUE,,,e
1,463.3090278,298.4766328,8,7,2,20,308,308,5.730099783,0,FALSE,FALSE,TRUE,,,e
1,463.3090278,298.4766328,8,7,3,21,272,272,5.605802066,0,FALSE,FALSE,TRUE,-17,-0.058479129,e
1,463.3090278,298.4766328,8,8,1,22,268,268,5.590986981,0,FALSE,FALSE,TRUE,,,o
1,463.3090278,298.4766328,8,8,2,23,301,301,5.707110265,0,FALSE,FALSE,TRUE,,,o
1,463.3090278,298.4766328,8,8,3,24,278,278,5.627621114,0,FALSE,FALSE,TRUE,-21.5,-0.076378709,o
1,463.3090278,298.4766328,8,2,1,4,282,282,5.641907071,0,FALSE,FALSE,TRUE,,,e
1,463.3090278,298.4766328,8,2,2,5,303,303,5.713732806,0,FALSE,FALSE,TRUE,,,e
1,463.3090278,298.4766328,8,2,3,6,280,280,5.634789603,0,FALSE,FALSE,TRUE,-9.5,-0.032354133,e
1,463.3090278,298.4766328,9,6,1,16,271,271,5.602118821,0,FALSE,FALSE,TRUE,,,o
1,463.3090278,298.4766328,9,6,2,17,275,275,5.616771098,0,FALSE,FALSE,TRUE,,,o
